epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1416.48,1.09622,8.13866,0.60456,2.46266,1.39339,0.00843,0.19444,0.01599,0.00208,0,0,0,0,5.13056,11.9855,0.64751,10.4019,5.45104,0.0001882,0.0001882,0.0001882
84,1435.63,1.22883,7.08136,0.59514,2.91189,1.52444,0.00787,0.19444,0.01665,0.00217,0.0002,0.05556,0.00034,3e-05,5.14644,11.983,0.63752,9.309,5.44087,0.0001783,0.0001783,0.0001783
85,1452.02,1.3529,10.9428,0.59701,3.40379,1.45606,0.00787,0.19444,0.01665,0.00217,0.0002,0.05556,0.00034,3e-05,5.14644,11.983,0.63752,9.309,5.44087,0.0001684,0.0001684,0.0001684
86,1468.26,0.98714,5.73957,0.56026,2.26966,1.32185,0.00787,0.19444,0.01665,0.00217,0.0002,0.05556,0.00034,3e-05,5.14644,11.983,0.63752,9.309,5.44087,0.0001585,0.0001585,0.0001585
87,1484.34,1.25762,7.4438,0.58401,3.01126,1.60915,0.00754,0.19444,0.02016,0.00204,0.0002,0.05556,0.00032,3e-05,5.13017,11.9817,0.63313,8.90859,5.41453,0.0001486,0.0001486,0.0001486
88,1500.28,0.64636,6.19187,0.41568,5.03544,0.9219,0.00754,0.19444,0.02016,0.00204,0.0002,0.05556,0.00032,3e-05,5.13017,11.9817,0.63313,8.90859,5.41453,0.0001387,0.0001387,0.0001387
89,1516.28,0.88062,6.62405,0.55477,2.31823,1.20461,0.00671,0.19444,0.01851,0.00187,0.0004,0.11111,0.00086,9e-05,5.14361,11.9828,0.62409,8.3736,5.44965,0.0001288,0.0001288,0.0001288
90,1532.61,0.88815,9.67235,0.60319,2.13223,1.25426,0.00671,0.19444,0.01851,0.00187,0.0004,0.11111,0.00086,9e-05,5.14361,11.9828,0.62409,8.3736,5.44965,0.0001189,0.0001189,0.0001189
91,1548.62,0.78645,11.7423,0.56699,2.95363,1.35559,0.00671,0.19444,0.01851,0.00187,0.0004,0.11111,0.00086,9e-05,5.14361,11.9828,0.62409,8.3736,5.44965,0.000109,0.000109,0.000109
92,1564.75,0.7218,10.9052,0.65282,3.01376,1.30146,0.00647,0.19444,0.01439,0.00144,0.0004,0.11111,0.00079,8e-05,5.18118,11.9845,0.61848,7.32152,5.54881,9.91e-05,9.91e-05,9.91e-05
93,1581.27,0.58673,7.64398,0.35774,5.02183,0.95852,0.00647,0.19444,0.01439,0.00144,0.0004,0.11111,0.00079,8e-05,5.18118,11.9845,0.61848,7.32152,5.54881,8.92e-05,8.92e-05,8.92e-05
94,1597.7,0.96919,11.711,0.55782,3.65064,1.52559,0.00647,0.19444,0.01439,0.00144,0.0004,0.11111,0.00079,8e-05,5.18118,11.9845,0.61848,7.32152,5.54881,7.93e-05,7.93e-05,7.93e-05
95,1613.83,0.98647,11.4857,0.52904,3.19633,1.62078,0.00695,0.19444,0.00986,0.00099,0.00039,0.11111,0.00075,0.00012,5.21724,11.985,0.60509,7.02661,5.71604,6.94e-05,6.94e-05,6.94e-05
96,1630.09,0.64394,11.7749,0.57931,3.0765,1.23747,0.00695,0.19444,0.00986,0.00099,0.00039,0.11111,0.00075,0.00012,5.21724,11.985,0.60509,7.02661,5.71604,5.95e-05,5.95e-05,5.95e-05
97,1646.43,0.53888,7.80071,0.35546,4.89811,0.83643,0.00694,0.15278,0.01132,0.00113,0.00037,0.11111,0.00073,0.00011,5.26242,11.987,0.60288,7.30422,5.90629,4.96e-05,4.96e-05,4.96e-05
98,1662.79,0.96724,11.8171,0.54247,2.61875,1.26782,0.00694,0.15278,0.01132,0.00113,0.00037,0.11111,0.00073,0.00011,5.26242,11.987,0.60288,7.30422,5.90629,3.97e-05,3.97e-05,3.97e-05
99,1678.83,0.73745,11.7269,0.55624,3.11279,1.35105,0.00694,0.15278,0.01132,0.00113,0.00037,0.11111,0.00073,0.00011,5.26242,11.987,0.60288,7.30422,5.90629,2.98e-05,2.98e-05,2.98e-05
100,1694.94,0.77073,11.8541,0.50442,2.87244,1.30421,0.00738,0.15278,0.0124,0.00124,0.00019,0.05556,0.00031,3e-05,5.27913,11.9865,0.59671,7.5478,6.03968,1.99e-05,1.99e-05,1.99e-05
