epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,7937.04,1.117,10.6783,0.58805,1.65157,1.1414,0.00071,0.04808,0.00047,0.00014,0.00026,0.02137,0.00036,8e-05,2.84352,11.7191,0.56629,5.08398,2.68276,0.0004357,0.0004357,0.0004357
59,8065.8,1.17131,10.7616,0.57224,1.51943,1.15413,0.00081,0.05235,0.00051,0.00014,0.00012,0.01282,8e-05,1e-05,2.78216,11.682,0.58025,5.19429,2.59914,0.0004258,0.0004258,0.0004258
60,8198.05,1.24424,10.9587,0.57771,1.57796,1.13369,0.00047,0.02671,0.00027,9e-05,8e-05,0.00855,5e-05,1e-05,2.78727,11.6638,0.58008,5.18291,2.57619,0.0004159,0.0004159,0.0004159
61,8326.97,1.12341,10.3903,0.58769,1.69449,1.10307,0.00047,0.02671,0.00028,8e-05,0.00013,0.01282,7e-05,1e-05,2.86379,11.6653,0.58309,5.11071,2.6421,0.000406,0.000406,0.000406
62,8457.73,1.12535,10.5638,0.58031,1.51725,1.12702,0.00061,0.03419,0.00035,9e-05,0.00012,0.01282,8e-05,3e-05,2.92838,11.6435,0.58675,5.29911,2.62082,0.0003961,0.0003961,0.0003961
63,8588.2,1.06032,10.8134,0.58746,1.56069,1.12189,0.00063,0.03312,0.00037,9e-05,0.00012,0.01282,0.00012,2e-05,2.92344,11.621,0.59167,5.31662,2.58639,0.0003862,0.0003862,0.0003862
64,8717.14,1.14944,10.3712,0.56614,1.57955,1.13152,0.00059,0.03205,0.00037,8e-05,0.00026,0.02137,0.00017,5e-05,2.8969,11.6459,0.58337,5.24523,2.61293,0.0003763,0.0003763,0.0003763
65,8845.99,1.06123,10.2811,0.56534,1.48369,1.13098,0.00059,0.03205,0.00034,8e-05,0.00019,0.01709,0.00015,4e-05,2.9433,11.6198,0.57154,5.42637,2.69809,0.0003664,0.0003664,0.0003664
66,8975.52,0.98155,10.1571,0.58731,1.46115,1.09947,0.0008,0.04487,0.00049,0.00012,0.00062,0.00427,0.00015,3e-05,3.00126,11.6539,0.56811,5.55648,2.72874,0.0003565,0.0003565,0.0003565
67,9105.04,0.98943,10.1392,0.57296,1.50197,1.12993,0.00092,0.04915,0.00055,0.00012,0.00119,0.00855,0.00021,4e-05,2.97199,11.6902,0.57705,5.54678,2.71846,0.0003466,0.0003466,0.0003466
